client_id,epoch,batch_index,latency_seconds,payload_size_mb,edge_forward,edge_backward,server_forward,server_backward,inter_delay,grad_delay
d20756ae,9,33,0.6622,8.5965,0.1268,0.1814,0.1048,0.1999,0.0123,0.0370
a9daf54c,9,34,0.6788,8.5967,0.1321,0.1853,0.1083,0.2059,0.0140,0.0333
d20756ae,9,34,0.6159,8.5964,0.1372,0.1496,0.0983,0.1885,0.0100,0.0322
a9daf54c,9,35,0.5689,8.5974,0.1392,0.1549,0.0831,0.1538,0.0109,0.0269
d20756ae,9,35,0.5577,8.5970,0.1123,0.1500,0.0970,0.1527,0.0176,0.0280
a9daf54c,9,36,0.5776,8.5963,0.1195,0.1667,0.0933,0.1612,0.0084,0.0286
d20756ae,9,36,0.5602,8.5966,0.1076,0.1375,0.0925,0.1643,0.0320,0.0264
a9daf54c,10,37,0.5784,8.5965,0.1166,0.1864,0.0787,0.1572,0.0080,0.0315
d20756ae,10,37,0.6367,8.5963,0.1115,0.1791,0.0986,0.1752,0.0266,0.0457
a9daf54c,10,38,0.6438,8.5963,0.1383,0.1778,0.1010,0.1839,0.0111,0.0316
d20756ae,10,38,0.6653,8.5970,0.1132,0.1723,0.1055,0.1996,0.0402,0.0345
a9daf54c,10,39,0.5756,8.5963,0.1237,0.1533,0.0996,0.1587,0.0129,0.0273
d20756ae,10,39,0.6008,8.5964,0.1065,0.1648,0.1018,0.1859,0.0108,0.0309
a9daf54c,10,40,0.6448,8.5964,0.1203,0.1556,0.1056,0.1883,0.0413,0.0338
d20756ae,10,40,0.6329,8.5965,0.1114,0.1655,0.0970,0.1950,0.0267,0.0372
a9daf54c,11,41,0.6558,8.5964,0.1278,0.2025,0.0941,0.1703,0.0318,0.0293
d20756ae,11,41,0.6723,8.5965,0.1259,0.1711,0.1129,0.2058,0.0153,0.0412
a9daf54c,11,42,0.6414,8.5966,0.1438,0.1689,0.0961,0.1811,0.0146,0.0368
d20756ae,11,42,0.6501,8.5964,0.1301,0.1552,0.1083,0.2041,0.0137,0.0388
a9daf54c,11,43,0.6239,8.5966,0.1335,0.1552,0.0984,0.1600,0.0434,0.0333
d20756ae,11,43,0.5962,8.5963,0.1305,0.1743,0.0927,0.1569,0.0123,0.0294
a9daf54c,11,44,0.5996,8.5966,0.1121,0.1701,0.1005,0.1552,0.0283,0.0336
d20756ae,11,44,0.5554,8.5964,0.1163,0.1582,0.0920,0.1526,0.0102,0.0262
a9daf54c,12,45,0.5965,8.5969,0.1239,0.1721,0.0923,0.1714,0.0096,0.0272
d20756ae,12,45,0.6495,8.5964,0.1074,0.1893,0.1056,0.1767,0.0323,0.0382
a9daf54c,12,46,0.6504,8.5966,0.1319,0.1949,0.0946,0.1869,0.0093,0.0328
d20756ae,12,46,0.6231,8.5967,0.1309,0.1476,0.1036,0.2027,0.0111,0.0272
a9daf54c,12,47,0.6145,8.5970,0.1254,0.1582,0.0983,0.1896,0.0115,0.0315
d20756ae,12,47,0.6478,8.5967,0.1184,0.1674,0.1034,0.1926,0.0355,0.0305
a9daf54c,12,48,0.6227,8.5971,0.1201,0.1511,0.1065,0.1976,0.0177,0.0297
d20756ae,12,48,0.6060,8.5966,0.1142,0.1503,0.0988,0.1836,0.0285,0.0306
a9daf54c,13,49,0.6036,8.5965,0.1177,0.1909,0.0898,0.1647,0.0092,0.0312
d20756ae,13,49,0.7364,8.5964,0.1204,0.2120,0.1095,0.2086,0.0308,0.0551
a9daf54c,13,50,0.8020,8.5965,0.1402,0.2558,0.1167,0.2303,0.0147,0.0443
d20756ae,13,50,0.7204,8.5963,0.1542,0.1625,0.1675,0.1895,0.0181,0.0285
a9daf54c,13,51,0.5900,8.5965,0.1364,0.1670,0.0933,0.1533,0.0086,0.0314
d20756ae,13,51,0.5315,8.5966,0.1090,0.1446,0.0891,0.1527,0.0101,0.0260
a9daf54c,13,52,0.5938,8.5964,0.1202,0.1686,0.0921,0.1696,0.0084,0.0349
